Word,Frequency
balakoṭṭhakaṃ,9
yāguṃ,9
kañci,9
ayameva,9
gīvāya,9
kadā,9
gāme,9
mantaṃ,9
dāsaṃ,9
aññena,9
sakuṇā,9
pāpeti,9
piṇḍattho,9
padese,9
rukkho,9
macche,9
ḍaṃsitvā,9
gacchā’’ti,9
mittavindako,9
aṭaviṃ,9
kākaṃ,9
assamapadaṃ,9
mitto,9
assāsetvā,9
nadiyā,9
māṇavikā,9
āhara,9
indriyāni,9
vassāni,9
deviṃ,9
abhiruhitvā,9
supine,9
mūsikā,9
tathāgataṃ,8
nirantaraṃ,8
sadiso,8
su,8
devaloke,8
sakaṭasatehi,8
udāhu,8
goṇā,8
addasa,8
manussehi,8
paṭisanthāraṃ,8
parato,8
bālatāya,8
pure,8
nāmesa,8
ayañca,8
gamissāmā’’ti,8
sannipātāpetvā,8
vijjulatā,8
dutiyaṃ,8
cassa,8
dhammā,8
uttari,8
catūsu,8
nāmāti,8
kāmesu,8
āgato’’ti,8
gamanaṃ,8
pacitvā,8
vasanaṭṭhānameva,8
nipāto,8
bhagavatā,8
dīgharattaṃ,8
āsane,8
mūlaṃ,8
dhammiko,8
gacchantaṃ,8
nānappakārāni,8
āgamma,8
anubandhitvā,8
ñātakā,8
rājagahanagare,8
ammā’’ti,8
nivāsaṃ,8
vadesi,8
gaṇhituṃ,8
padaṃ,8
doso,8
bhaṇe,8
uṭṭhahi,8
gaṇha,8
guṇakathaṃ,8
purise,8
asukaṭṭhāne,8
karotīti,8
yathāruciyā,8
katheti,8
pañcannaṃ,8
bārāṇasirajjaṃ,8
vihāsi,8
hiriṃ,8
kāraṇehi,8
kattabbaṃ,8
sa,8
yuttaṃ,8
samāno,8
adatvā,8
dassati,8
dametvā,8
āvibhavissati,8
bārāṇasirañño,8
saccakiriyaṃ,8
kathento,8
hatthaṃ,8
kosalarañño,8
ajjeva,8
devatāya,8
rāhulo,8
paṭicchāpetvā,8
jeṭṭhantevāsiko,8
ṭhitakāle,8
magadharaṭṭhe,8
migagaṇaṃ,8
paṭicchannaṭṭhāne,8
migaṃ,8
ekakova,8
saṅkhepattho,8
mahādānaṃ,8
kicchena,8
pakkhanditvā,8
ārocayiṃsu,8
ṭhite,8
mātugāmaṃ,8
luddako,8
vanaṃ,8
migamāyaṃ,8
āgataṃ,8
me’’ti,8
ahañhi,8
paṃsuṃ,8
pañhaṃ,8
pabbatapāde,8
eḷakaṃ,8
māṇavā,8
bhāyi,8
mahājano,8
kareyya,8
ākaḍḍhitvā,8
ñātakānaṃ,8
sakalajambudīpe,8
nassissati,8
upadhārento,8
sahāyakā,8
sakkonti,8
garu,8
tveva,8
ukkhipituṃ,8
ukkaṇṭhitosī’’ti,8
bhavissatīti,8
pathaviṃ,8
kato,8
paviṭṭho,8
tenassa,8
senāsanaṃ,8
rattiyā,8
kinti,8
tayopi,8
evāhaṃ,8
sāṭake,8
bako,8
cintento,8
kakkaṭako,8
therena,8
sahāyo,8
āropetvā,8
nisinnaṃ,8
pasīditvā,8
panāhaṃ,8
gocarāya,8
kākānaṃ,8
makkhikā,8
yaññaṃ,8
thāmasampanno,8
āmakasusāne,8
dhuttā,8
takketvā,8
lomesuyeva,8
uraṃ,8
kumbhīlo,8
ḍaṃsi,8
mittadubbhī,8
khīraṃ,8
dhītaro,8
seyyathāpi,8
pūve,8
pūvaṃ,8
sāṭakayugaṃ,8
apaccavekkhitvā,8
atipaṇḍito,8
kaṃ,7
kathā,7
pañcasate,7
rājagahaṃ,7
māse,7
upāsikā,7
nirayādīsu,7
mātukucchito,7
vaṇijjaṃ,7
aññopi,7
nhāyituṃ,7
vāto,7
etasmiṃ,7
pupphaṃ,7
kacci,7
ṭhitakova,7
dhammakathaṃ,7
ayamettha,7
jhānaṃ,7
tīhi,7
tadeva,7
desanaṃ,7
maññe,7
karissāmi,7
vacanena,7
bhikkhunā,7
khepetvā,7
sūriye,7
imināva,7
padesaṃ,7
dhajaṃ,7
ciraṃ,7
avasesā,7
pakkosi,7
sutvāva,7
muggaraṃ,7
cūḷapanthakassa,7
rājagahe,7
aññepi,7
aññehi,7
gabbho,7
karissāma,7
laddho’’ti,7
jhānasukhena,7
paññavā,7
lokaṃ,7
saññaṃ,7
kari,7
theropi,7
gandhakuṭiṃ,7
ārabhiṃsu,7
abhiruyha,7
sobhati,7
sannisinnā,7
seṭṭhiṭṭhānaṃ,7
aññataro,7
rājuyyāne,7
upāyaṃ,7
pariyesamāno,7
upāyo’’ti,7
laddha’’nti,7
ādiṃ,7
akāsiyevā’’ti,7
bālaṃ,7
bhariyāya,7
āgatatthā’’ti,7
aggamahesiyā,7
nāmaggahaṇadivase,7
manāpā,7
rājaṅgaṇe,7
pavesetvā,7
tasmimpi,7
dvinnampi,7
bhojanaṃ,7
akaronto,7
bhāveti,7
mahā,7
passatha,7
vutto,7
upādāya,7
bhātaraṃ,7
jānāsi,7
mahārājāti,7
nipātamattaṃ,7
brahmacariyaṃ,7
kilese,7
brahmaloke,7
nikkhamiṃsu,7
imesu,7
ārādhetvā,7
sakalanagaraṃ,7
mukhena,7
kāraṇa’’nti,7
gabbhaṃ,7
samaṇo,7
gotamo,7
dāpetvā,7
vinā,7
āpucchitvā,7
pakkamiṃsu,7
migo,7
vāraṃ,7
karissantī’’ti,7
mataṃ,7
palāyi,7
gāḷhaṃ,7
acchariyaṃ,7
sakkhissati,7
labhanto,7
vā’’ti,7
dubbacabhikkhuṃ,7
bhātika,7
vasena,7
dubbacabhikkhu,7
muhuttaṃ,7
sampattiṃ,7
khamāpetvā,7
eso’’ti,7
nayo,7
kākā,7
āraddho,7
matakabhattaṃ,7
brāhmaṇe,7
māressāmī’’ti,7
āgamanaṃ,7
āvajjetvā,7
aparampi,7
sakalampi,7
parisakkati,7
kappeti,7
pātesi,7
rattibhāge,7
susānaṃ,7
karotha,7
assaṃ,7
ānayiṃsu,7
sarīrakiccaṃ,7
evarūpassa,7
atthe,7
titthaṃ,7
hatthissa,7
nāgo,7
paṭhamameva,7
kate,7
piṭṭhiṃ,7
kāro,7
thale,7
ṭhapitā,7
samuddapiṭṭhe,7
ārakkhā,7
cavitvā,7
etā,7
maccho,7
pacchiṃ,7
kevaṭṭā,7
anoloketvā,7
ākāsena,7
paccantagāmaṃ,7
jānitvā,7
sammā,7
patiṭṭhāya,7
sare,7
saddahitvā,7
khāditukāmo,7
pubbepesa,7
dāso,7
aḍḍharattasamaye,7
samaṇassa,7
duggato,7
niraye,7
sabbasippesu,7
sallakkhetvā,7
losakatissatthero,7
nimantetvā,7
bahūni,7
pharuso,7
tīsu,7
gāmakaṃ,7
bālā,7
vāruṇiṃ,7
vassāpetvā,7
maṅgalaṃ,7
nagaravāsino,7
ruciyā,7
āṇaṃ,7
ekopi,7
ṭhapitaṃ,7
imamhā,7
aṭavimukhe,7
āgatakāle,7
lāmikā,7
kileso,7
kīḷanto,7
itthiyā,7
purohitassa,7
vīṇaṃ,7
coro,7
jānituṃ,7
kilesā,7
puñchitvā,7
asantaṃ,7
saññāpetvā,7
hatā,7
sameti,7
ubhayaṃ,7
mahāvibhavo,7
gaṇhanti,7
vācā,7
paṇṇākāraṃ,7
sabbasippāni,7
sarīravaḷañjaṃ,7
kaṭāhako,7
biḷāro,7
viroca,7
daṭṭhakālo,7
niccakālaṃ,6
anāthapiṇḍikena,6
muccitvā,6
ratanāni,6
dī,6
khemaṃ,6
nānappakārehi,6
pāramiyo,6
lokassa,6
brahmadatto,6
satthavāhaputto,6
bālasatthavāhaputto,6
magge,6
jīvitā,6
udakassa,6
khādantā,6
nayena,6
yakkhaṃ,6
avoca,6
vassati,6
paṭipāṭiyā,6
kiccaṃ,6
pāpuṇiṃsu,6
aññāsi,6
nibbhayo,6
upāyakusalo,6
mūlena,6
medhāvī,6
bhojane,6
āraddhā,6
tisso,6
patiṭṭhahiṃsu,6
