Word,Frequency
nissāya,1
puratthābhimukho,1
purakkhato,1
bhikkhusaṅghassā’’ti,1
aṭṭhāsi,1
bhikkhusaṅghaṃ,1
anuviloketvā,1
rahadamiva,1
vippasannaṃ,1
udāyibhaddo,1
agamā,1
yathāpema’’nti,1
piyo,1
añjaliṃ,1
paṇāmetvā,1
nisīdi,1
puccheyyāmahaṃ,1
lesamattaṃ,1
okāsaṃ,1
pañhassa,1
veyyākaraṇāyā’’ti,1
puccha,1
yadākaṅkhasī’’ti,1
nahāpikā,1
nhāpikā,1
pīnenti,1
samaṇesu,1
brāhmaṇesu,1
abhijānāsi,1
abhijānāmahaṃ,1
byākariṃsu,1
agaru,1
garu,1
yatthassa,1
bhagavantarūpo,1
cāti,1
pūraṇakassapavādo,1
pūraṇena,1
kassapena,1
kārayato,1
chedāpayato,1
pacato,1
pācāpayato,1
socayato,1
socāpayato,1
kilamato,1
kilamāpayato,1
phandato,1
phandāpayato,1
pāṇamatipātāpayato,1
adinnaṃ,1
ādiyato,1
sandhiṃ,1
nillopaṃ,1
harato,1
ekāgārikaṃ,1
paripanthe,1
tiṭṭhato,1
paradāraṃ,1
gacchato,1
bhaṇato,1
karīyati,1
khurapariyantena,1
cakkena,1
imissā,1
pāṇe,1
maṃsakhalaṃ,1
maṃsapuñjaṃ,1
hananto,1
ghātento,1
chindanto,1
chedāpento,1
pacanto,1
pācāpento,1
uttarañcepi,1
dadanto,1
dāpento,1
yajanto,1
yajāpento,1
dānena,1
damena,1
saṃyamena,1
saccavajjena,1
āgamo’ti,1
pūraṇassa,1
kassapassa,1
appaṭikositvā,1
anikkujjento,1
pakkāmiṃ,1
makkhaligosālavādo,1
makkhalinā,1
gosālena,1
saṃkilesāya,1
ahetu,1
saṃkilissanti,1
visuddhiyā,1
visujjhanti,1
attakāre,1
parakāre,1
purisakāre,1
balaṃ,1
vīriyaṃ,1
purisathāmo,1
purisaparakkamo,1
pāṇā,1
bhūtā,1
jīvā,1
avasā,1
abalā,1
avīriyā,1
niyatisaṅgatibhāvapariṇatā,1
chasvevābhijātīsu,1
sukhadukkhaṃ,1
dukkhañca,1
paṭisaṃvedenti,1
cuddasa,1
panimāni,1
yonipamukhasatasahassāni,1
saṭṭhi,1
cha,1
kammuno,1
tīṇi,1
kamme,1
aḍḍhakamme,1
dvaṭṭhipaṭipadā,1
dvaṭṭhantarakappā,1
chaḷābhijātiyo,1
aṭṭha,1
purisabhūmiyo,1
ājīvakasate,1
paribbājakasate,1
nāgāvāsasate,1
vīse,1
indriyasate,1
tiṃse,1
nirayasate,1
chattiṃsa,1
rajodhātuyo,1
saññīgabbhā,1
asaññīgabbhā,1
nigaṇṭhigabbhā,1
devā,1
mānusā,1
pisācā,1
sarā,1
pavuṭā,1
sapuṭā,1
pabuṭā,1
pavuṭasatāni,1
papātā,1
papātasatāni,1
supinā,1
supinasatāni,1
cullāsīti,1
mahākappino,1
mahākappuno,1
